ID,sku,name,price
1342,SONZ5C016,For Sony Xperia Z5 Compact Main Antenna,32
1341,SONZ5C015,For Sony Xperia Z5 Compact Charging Connector Flex,10
1340,SONZ5C014,For Sony Xperia Z5 Compact Back Cover Yellow,3.3
1339,SONZ5C013,For Sony Xperia Z5 Compact Back Cover Coral,3.3
1338,SONZ5C012,For Sony Xperia Z5 Compact Audio Flex,10
1337,SONZ5C011,For Sony Xperia Z5 Compact Small Plug in Yellow,8.5
1336,SONZ5C010,For Sony Xperia Z5 Compact Small Plug in White,7
1333,SONZ5C009,For Sony Xperia Z5 Compact Small Plug in Red,7
1332,SONZ5C008,For Sony Xperia Z5 Compact Small Plug in Black,7
1331,SONZ5C007,For Sony Xperia Z5 Compact Power & Volume Flex,40
1330,SONZ5C006,For Sony Xperia Z5 Compact E5823 Back Adhesive,0.8
1329,SONZ5C005,For Sony Xperia Z5 Compact E5823 Front Adhesive,1
1328,SONZ5C004,For Sony Xperia Z5 mini Back Cover Silver,3.2
1327,SONZ5C003,For Sony Xperia Z5 Compact Back Cover Black,3.3
1326,SONZ5C002,For Sony Xperia Z5 Compact E5823 LCD White,255
1325,SONZ5C001,For Sony Xperia Z5 Compact E5823 LCD Black,165
1324,SONZ3P008,For Sony Xperia Z3 Plus Lcd White Original New,165
1323,SONZ3P007,For Sony Xperia Z3 Plus LCD Black Original New,160
1322,SONZ3P006,For Sony Xperia Z3 Plus/Z4 Coaxial Cable for Antenna,3.5
1321,SONZ3P005,For Sony Xperia Z3 Plus LCD With Frame Original Gold,230
1320,SONZ3P003,For Sony Xperia Z3 Plus Sensor Flex with Microphone,5
1319,SONZ3P002,For Sony Xperia Z3 Plus Earpice,1.5
1318,SONZ3C05,For Sony Xperia Z3 Compact Coaxial Cable for Antenna,3
1317,SONZ3C04,For Sony Xperia Z3 Compact LCD With Frame Original White,200
1316,SONZ3C03,For Sony Xperia Z3 Compact LCD With Frame Original Black,160
1315,SONZ3C02,For Sony Xperia Z3 Compact LCD With Frame Original Green,200
1314,SONZ3C01,For Sony Xperia Z3 Compact LCD With Frame Original Red,190
1313,SONZ1C05,For Sony Xperia Z1 Compact SIM Card Reader,1.6
1312,SONZ1C04,For Sony Xperia Z1 Compact Loud speaker,6
1311,SONZ1C03,For Sony Xperia Z1 Compact Audio Jack,2
1310,SONZ1C02,For Sony Xperia V/Z/Z1 Compact Ear Sperker,1
1309,SONZ1C01,For Sony Xperia Z1 Compact Front Camera,8
1308,SONZ01,For Sony Xperia Z LCD Complete Black L 36h Original New,115
1307,SONXP04,For Sony Xperia X Performance LCD Complete Pink,200
1306,SONXP02,For Sony Xperia X Performance LCD Complete White,200
1305,SONXP01,For Sony Xperia x Performance LCD Complete Black,200
1304,SONXA23,For Sony Xperia XA Power Volume Flex,13
1303,SONXA22,For Sony Xperia XA Power Volume Button,6
1302,SONXA20,For Sony Xperia XA Back Camera,68
1301,SONXA19,For Sony Xperia XA Micro USB Connector,43
